******************ready_q****************************
('id : ', 6469, 'cpu :', 6.0, 'io : ', 3, 'ratio : ', 5.666666666666667)
('id : ', 6471, 'cpu :', 6.0, 'io : ', 4, 'ratio : ', 5.5)
('id : ', 6467, 'cpu :', 5.0, 'io : ', 3, 'ratio : ', 6.6)
('id : ', 6470, 'cpu :', 5, 'io : ', 5, 'ratio : ', 6)
('id : ', 6472, 'cpu :', 4, 'io : ', 3, 'ratio : ', 8)
('id : ', 6473, 'cpu :', 4, 'io : ', 3, 'ratio : ', 8)
******************wait_q****************************



******************ready_q****************************
('id : ', 6466, 'cpu :', 5.0, 'io : ', 5, 'ratio : ', 1.4)
('id : ', 6468, 'cpu :', 5.0, 'io : ', 5, 'ratio : ', 6.4)
('id : ', 6474, 'cpu :', 5.0, 'io : ', 4, 'ratio : ', 6.8)
('id : ', 6475, 'cpu :', 6.0, 'io : ', 5, 'ratio : ', 5.833333333333333)
('id : ', 6469, 'cpu :', 6.0, 'io : ', 3, 'ratio : ', 5.833333333333333)
('id : ', 6471, 'cpu :', 6.0, 'io : ', 4, 'ratio : ', 5.666666666666667)
('id : ', 6467, 'cpu :', 5.0, 'io : ', 3, 'ratio : ', 6.8)
('id : ', 6470, 'cpu :', 5, 'io : ', 5, 'ratio : ', 7)
('id : ', 6472, 'cpu :', 4, 'io : ', 3, 'ratio : ', 8)
('id : ', 6473, 'cpu :', 4, 'io : ', 3, 'ratio : ', 8)
******************wait_q****************************



******************ready_q****************************
('id : ', 6466, 'cpu :', 4.0, 'io : ', 5, 'ratio : ', 1.5)
('id : ', 6468, 'cpu :', 5.0, 'io : ', 5, 'ratio : ', 6.6)
('id : ', 6474, 'cpu :', 5.0, 'io : ', 4, 'ratio : ', 7.0)
('id : ', 6475, 'cpu :', 6.0, 'io : ', 5, 'ratio : ', 6.0)
