******************ready_q****************************
('id : ', 6813, 'cpu :', 7, 'io : ', 7, 'time_q : ', 3)
('id : ', 6814, 'cpu :', 6, 'io : ', 6, 'time_q : ', 3)
('id : ', 6815, 'cpu :', 4, 'io : ', 5, 'time_q : ', 3)
('id : ', 6816, 'cpu :', 5, 'io : ', 7, 'time_q : ', 3)
('id : ', 6806, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6807, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6808, 'cpu :', 5.0, 'io : ', 8, 'time_q : ', 1.0)
('id : ', 6809, 'cpu :', 6, 'io : ', 6, 'time_q : ', 3)
('id : ', 6810, 'cpu :', 7, 'io : ', 6, 'time_q : ', 3)
('id : ', 6811, 'cpu :', 5, 'io : ', 4, 'time_q : ', 3)
('id : ', 6813, 'cpu :', 7, 'io : ', 7, 'time_q : ', 3)
('id : ', 6814, 'cpu :', 6, 'io : ', 6, 'time_q : ', 3)
('id : ', 6815, 'cpu :', 4, 'io : ', 5, 'time_q : ', 3)
('id : ', 6816, 'cpu :', 5, 'io : ', 7, 'time_q : ', 3)
('id : ', 6806, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6807, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6809, 'cpu :', 6, 'io : ', 6, 'time_q : ', 3)
('id : ', 6810, 'cpu :', 7, 'io : ', 6, 'time_q : ', 3)
('id : ', 6811, 'cpu :', 5, 'io : ', 4, 'time_q : ', 3)
('id : ', 6813, 'cpu :', 7, 'io : ', 7, 'time_q : ', 3)
('id : ', 6814, 'cpu :', 6, 'io : ', 6, 'time_q : ', 3)
('id : ', 6815, 'cpu :', 4, 'io : ', 5, 'time_q : ', 3)
('id : ', 6816, 'cpu :', 5, 'io : ', 7, 'time_q : ', 3)
('id : ', 6806, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6807, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6808, 'cpu :', 4.0, 'io : ', 8, 'time_q : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6809, 'cpu :', 5.0, 'io : ', 6, 'time_q : ', 2.0)
('id : ', 6810, 'cpu :', 7, 'io : ', 6, 'time_q : ', 3)
('id : ', 6811, 'cpu :', 5, 'io : ', 4, 'time_q : ', 3)
('id : ', 6813, 'cpu :', 7, 'io : ', 7, 'time_q : ', 3)
('id : ', 6814, 'cpu :', 6, 'io : ', 6, 'time_q : ', 3)
('id : ', 6815, 'cpu :', 4, 'io : ', 5, 'time_q : ', 3)
('id : ', 6816, 'cpu :', 5, 'io : ', 7, 'time_q : ', 3)
('id : ', 6806, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6807, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6808, 'cpu :', 4.0, 'io : ', 8, 'time_q : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6809, 'cpu :', 4.0, 'io : ', 6, 'time_q : ', 1.0)
('id : ', 6810, 'cpu :', 7, 'io : ', 6, 'time_q : ', 3)
('id : ', 6811, 'cpu :', 5, 'io : ', 4, 'time_q : ', 3)
('id : ', 6813, 'cpu :', 7, 'io : ', 7, 'time_q : ', 3)
('id : ', 6814, 'cpu :', 6, 'io : ', 6, 'time_q : ', 3)
('id : ', 6815, 'cpu :', 4, 'io : ', 5, 'time_q : ', 3)
('id : ', 6816, 'cpu :', 5, 'io : ', 7, 'time_q : ', 3)
('id : ', 6806, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6807, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6808, 'cpu :', 4.0, 'io : ', 8, 'time_q : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6810, 'cpu :', 7, 'io : ', 6, 'time_q : ', 3)
('id : ', 6811, 'cpu :', 5, 'io : ', 4, 'time_q : ', 3)
('id : ', 6813, 'cpu :', 7, 'io : ', 7, 'time_q : ', 3)
('id : ', 6814, 'cpu :', 6, 'io : ', 6, 'time_q : ', 3)
('id : ', 6815, 'cpu :', 4, 'io : ', 5, 'time_q : ', 3)
('id : ', 6816, 'cpu :', 5, 'io : ', 7, 'time_q : ', 3)
('id : ', 6806, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6807, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6808, 'cpu :', 4.0, 'io : ', 8, 'time_q : ', 3)
('id : ', 6809, 'cpu :', 3.0, 'io : ', 6, 'time_q : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6810, 'cpu :', 6.0, 'io : ', 6, 'time_q : ', 2.0)
('id : ', 6811, 'cpu :', 5, 'io : ', 4, 'time_q : ', 3)
('id : ', 6813, 'cpu :', 7, 'io : ', 7, 'time_q : ', 3)
('id : ', 6814, 'cpu :', 6, 'io : ', 6, 'time_q : ', 3)
('id : ', 6815, 'cpu :', 4, 'io : ', 5, 'time_q : ', 3)
('id : ', 6816, 'cpu :', 5, 'io : ', 7, 'time_q : ', 3)
('id : ', 6806, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6807, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6808, 'cpu :', 4.0, 'io : ', 8, 'time_q : ', 3)
('id : ', 6809, 'cpu :', 3.0, 'io : ', 6, 'time_q : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6810, 'cpu :', 5.0, 'io : ', 6, 'time_q : ', 1.0)
('id : ', 6811, 'cpu :', 5, 'io : ', 4, 'time_q : ', 3)
('id : ', 6813, 'cpu :', 7, 'io : ', 7, 'time_q : ', 3)
('id : ', 6814, 'cpu :', 6, 'io : ', 6, 'time_q : ', 3)
('id : ', 6815, 'cpu :', 4, 'io : ', 5, 'time_q : ', 3)
('id : ', 6816, 'cpu :', 5, 'io : ', 7, 'time_q : ', 3)
('id : ', 6806, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6807, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6808, 'cpu :', 4.0, 'io : ', 8, 'time_q : ', 3)
('id : ', 6809, 'cpu :', 3.0, 'io : ', 6, 'time_q : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6811, 'cpu :', 5, 'io : ', 4, 'time_q : ', 3)
('id : ', 6813, 'cpu :', 7, 'io : ', 7, 'time_q : ', 3)
('id : ', 6814, 'cpu :', 6, 'io : ', 6, 'time_q : ', 3)
('id : ', 6815, 'cpu :', 4, 'io : ', 5, 'time_q : ', 3)
('id : ', 6816, 'cpu :', 5, 'io : ', 7, 'time_q : ', 3)
('id : ', 6806, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6807, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6808, 'cpu :', 4.0, 'io : ', 8, 'time_q : ', 3)
('id : ', 6809, 'cpu :', 3.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6810, 'cpu :', 4.0, 'io : ', 6, 'time_q : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6811, 'cpu :', 4.0, 'io : ', 4, 'time_q : ', 2.0)
('id : ', 6813, 'cpu :', 7, 'io : ', 7, 'time_q : ', 3)
('id : ', 6814, 'cpu :', 6, 'io : ', 6, 'time_q : ', 3)
('id : ', 6815, 'cpu :', 4, 'io : ', 5, 'time_q : ', 3)
('id : ', 6816, 'cpu :', 5, 'io : ', 7, 'time_q : ', 3)
('id : ', 6806, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6807, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6808, 'cpu :', 4.0, 'io : ', 8, 'time_q : ', 3)
('id : ', 6809, 'cpu :', 3.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6810, 'cpu :', 4.0, 'io : ', 6, 'time_q : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6811, 'cpu :', 3.0, 'io : ', 4, 'time_q : ', 1.0)
('id : ', 6813, 'cpu :', 7, 'io : ', 7, 'time_q : ', 3)
('id : ', 6814, 'cpu :', 6, 'io : ', 6, 'time_q : ', 3)
('id : ', 6815, 'cpu :', 4, 'io : ', 5, 'time_q : ', 3)
('id : ', 6816, 'cpu :', 5, 'io : ', 7, 'time_q : ', 3)
('id : ', 6806, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6807, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6808, 'cpu :', 4.0, 'io : ', 8, 'time_q : ', 3)
('id : ', 6809, 'cpu :', 3.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6810, 'cpu :', 4.0, 'io : ', 6, 'time_q : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6813, 'cpu :', 7, 'io : ', 7, 'time_q : ', 3)
('id : ', 6814, 'cpu :', 6, 'io : ', 6, 'time_q : ', 3)
('id : ', 6815, 'cpu :', 4, 'io : ', 5, 'time_q : ', 3)
('id : ', 6816, 'cpu :', 5, 'io : ', 7, 'time_q : ', 3)
('id : ', 6806, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6807, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6808, 'cpu :', 4.0, 'io : ', 8, 'time_q : ', 3)
('id : ', 6809, 'cpu :', 3.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6810, 'cpu :', 4.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6811, 'cpu :', 2.0, 'io : ', 4, 'time_q : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6813, 'cpu :', 6.0, 'io : ', 7, 'time_q : ', 2.0)
('id : ', 6814, 'cpu :', 6, 'io : ', 6, 'time_q : ', 3)
('id : ', 6815, 'cpu :', 4, 'io : ', 5, 'time_q : ', 3)
('id : ', 6816, 'cpu :', 5, 'io : ', 7, 'time_q : ', 3)
('id : ', 6806, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6807, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6808, 'cpu :', 4.0, 'io : ', 8, 'time_q : ', 3)
('id : ', 6809, 'cpu :', 3.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6810, 'cpu :', 4.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6811, 'cpu :', 2.0, 'io : ', 4, 'time_q : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6813, 'cpu :', 5.0, 'io : ', 7, 'time_q : ', 1.0)
('id : ', 6814, 'cpu :', 6, 'io : ', 6, 'time_q : ', 3)
('id : ', 6815, 'cpu :', 4, 'io : ', 5, 'time_q : ', 3)
('id : ', 6816, 'cpu :', 5, 'io : ', 7, 'time_q : ', 3)
('id : ', 6806, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6807, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6808, 'cpu :', 4.0, 'io : ', 8, 'time_q : ', 3)
('id : ', 6809, 'cpu :', 3.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6810, 'cpu :', 4.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6811, 'cpu :', 2.0, 'io : ', 4, 'time_q : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6814, 'cpu :', 6, 'io : ', 6, 'time_q : ', 3)
('id : ', 6815, 'cpu :', 4, 'io : ', 5, 'time_q : ', 3)
('id : ', 6816, 'cpu :', 5, 'io : ', 7, 'time_q : ', 3)
('id : ', 6806, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6807, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6808, 'cpu :', 4.0, 'io : ', 8, 'time_q : ', 3)
('id : ', 6809, 'cpu :', 3.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6810, 'cpu :', 4.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6811, 'cpu :', 2.0, 'io : ', 4, 'time_q : ', 3)
('id : ', 6813, 'cpu :', 4.0, 'io : ', 7, 'time_q : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6814, 'cpu :', 5.0, 'io : ', 6, 'time_q : ', 2.0)
('id : ', 6815, 'cpu :', 4, 'io : ', 5, 'time_q : ', 3)
('id : ', 6816, 'cpu :', 5, 'io : ', 7, 'time_q : ', 3)
('id : ', 6806, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6807, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6808, 'cpu :', 4.0, 'io : ', 8, 'time_q : ', 3)
('id : ', 6809, 'cpu :', 3.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6810, 'cpu :', 4.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6811, 'cpu :', 2.0, 'io : ', 4, 'time_q : ', 3)
('id : ', 6813, 'cpu :', 4.0, 'io : ', 7, 'time_q : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6814, 'cpu :', 4.0, 'io : ', 6, 'time_q : ', 1.0)
('id : ', 6815, 'cpu :', 4, 'io : ', 5, 'time_q : ', 3)
('id : ', 6816, 'cpu :', 5, 'io : ', 7, 'time_q : ', 3)
('id : ', 6806, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6807, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6808, 'cpu :', 4.0, 'io : ', 8, 'time_q : ', 3)
('id : ', 6809, 'cpu :', 3.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6810, 'cpu :', 4.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6811, 'cpu :', 2.0, 'io : ', 4, 'time_q : ', 3)
('id : ', 6813, 'cpu :', 4.0, 'io : ', 7, 'time_q : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6815, 'cpu :', 4, 'io : ', 5, 'time_q : ', 3)
('id : ', 6816, 'cpu :', 5, 'io : ', 7, 'time_q : ', 3)
('id : ', 6806, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6807, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6808, 'cpu :', 4.0, 'io : ', 8, 'time_q : ', 3)
('id : ', 6809, 'cpu :', 3.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6810, 'cpu :', 4.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6811, 'cpu :', 2.0, 'io : ', 4, 'time_q : ', 3)
('id : ', 6813, 'cpu :', 4.0, 'io : ', 7, 'time_q : ', 3)
('id : ', 6814, 'cpu :', 3.0, 'io : ', 6, 'time_q : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6815, 'cpu :', 3.0, 'io : ', 5, 'time_q : ', 2.0)
('id : ', 6816, 'cpu :', 5, 'io : ', 7, 'time_q : ', 3)
('id : ', 6806, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6807, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6808, 'cpu :', 4.0, 'io : ', 8, 'time_q : ', 3)
('id : ', 6809, 'cpu :', 3.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6810, 'cpu :', 4.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6811, 'cpu :', 2.0, 'io : ', 4, 'time_q : ', 3)
('id : ', 6813, 'cpu :', 4.0, 'io : ', 7, 'time_q : ', 3)
('id : ', 6814, 'cpu :', 3.0, 'io : ', 6, 'time_q : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6815, 'cpu :', 2.0, 'io : ', 5, 'time_q : ', 1.0)
('id : ', 6816, 'cpu :', 5, 'io : ', 7, 'time_q : ', 3)
('id : ', 6806, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6807, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6808, 'cpu :', 4.0, 'io : ', 8, 'time_q : ', 3)
('id : ', 6809, 'cpu :', 3.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6810, 'cpu :', 4.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6811, 'cpu :', 2.0, 'io : ', 4, 'time_q : ', 3)
('id : ', 6813, 'cpu :', 4.0, 'io : ', 7, 'time_q : ', 3)
('id : ', 6814, 'cpu :', 3.0, 'io : ', 6, 'time_q : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6816, 'cpu :', 5, 'io : ', 7, 'time_q : ', 3)
('id : ', 6806, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6807, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6808, 'cpu :', 4.0, 'io : ', 8, 'time_q : ', 3)
('id : ', 6809, 'cpu :', 3.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6810, 'cpu :', 4.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6811, 'cpu :', 2.0, 'io : ', 4, 'time_q : ', 3)
('id : ', 6813, 'cpu :', 4.0, 'io : ', 7, 'time_q : ', 3)
('id : ', 6814, 'cpu :', 3.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6815, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6816, 'cpu :', 4.0, 'io : ', 7, 'time_q : ', 2.0)
('id : ', 6806, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6807, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6808, 'cpu :', 4.0, 'io : ', 8, 'time_q : ', 3)
('id : ', 6809, 'cpu :', 3.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6810, 'cpu :', 4.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6811, 'cpu :', 2.0, 'io : ', 4, 'time_q : ', 3)
('id : ', 6813, 'cpu :', 4.0, 'io : ', 7, 'time_q : ', 3)
('id : ', 6814, 'cpu :', 3.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6815, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6816, 'cpu :', 3.0, 'io : ', 7, 'time_q : ', 1.0)
('id : ', 6806, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6807, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6808, 'cpu :', 4.0, 'io : ', 8, 'time_q : ', 3)
('id : ', 6809, 'cpu :', 3.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6810, 'cpu :', 4.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6811, 'cpu :', 2.0, 'io : ', 4, 'time_q : ', 3)
('id : ', 6813, 'cpu :', 4.0, 'io : ', 7, 'time_q : ', 3)
('id : ', 6814, 'cpu :', 3.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6815, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6806, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6807, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6808, 'cpu :', 4.0, 'io : ', 8, 'time_q : ', 3)
('id : ', 6809, 'cpu :', 3.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6810, 'cpu :', 4.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6811, 'cpu :', 2.0, 'io : ', 4, 'time_q : ', 3)
('id : ', 6813, 'cpu :', 4.0, 'io : ', 7, 'time_q : ', 3)
('id : ', 6814, 'cpu :', 3.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6815, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6816, 'cpu :', 2.0, 'io : ', 7, 'time_q : ', 3)
******************wait_q****************************



******************ready_q****************************
('id : ', 6807, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6808, 'cpu :', 4.0, 'io : ', 8, 'time_q : ', 3)
('id : ', 6809, 'cpu :', 3.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6810, 'cpu :', 4.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6811, 'cpu :', 2.0, 'io : ', 4, 'time_q : ', 3)
('id : ', 6813, 'cpu :', 4.0, 'io : ', 7, 'time_q : ', 3)
('id : ', 6814, 'cpu :', 3.0, 'io : ', 6, 'time_q : ', 3)
('id : ', 6815, 'cpu :', 1.0, 'io : ', 5, 'time_q : ', 3)
('id : ', 6816, 'cpu :', 2.0, 'io : ', 7, 'time_q : ', 3)
******************wait_q****************************
('id : ', 6806, 'cpu :', 0.0, 'io :', 4.0, 'time_q : ', 2.0)



******************ready_q****************************
('id : ', 6808, 'cpu :', 4.0, 'io : ', 8, 'time_q : ', 3)
